QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,AIRLINE_ID,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP
1,1,1,5,DL,19790,12892,32575,LAX,10397,30397,ATL,2350,2355,5,5,0,0,2300-2359,654,641,-13,0,0,-1,0600-0659,244,226,206,1,1947,8
1,1,1,5,DL,19790,12892,32575,LAX,12339,32337,IND,2225,2218,-7,0,0,-1,2200-2259,523,520,-3,0,0,-1,0001-0559,238,242,206,1,1814,8
1,1,1,5,DL,19790,14869,34614,SLC,13796,32457,OAK,1525,1523,-2,0,0,-1,1500-1559,1623,1612,-11,0,0,-1,1600-1659,118,109,91,1,588,3
1,1,1,5,DL,19790,12892,32575,LAX,11433,31295,DTW,2330,2340,10,10,0,0,2300-2359,651,647,-4,0,0,-1,0600-0659,261,247,227,1,1979,8
1,1,1,5,DL,19790,13796,32457,OAK,14869,34614,SLC,604,557,-7,0,0,-1,0600-0659,855,832,-23,0,0,-2,0800-0859,111,95,74,1,588,3
1,1,1,5,DL,19790,12892,32575,LAX,14869,34614,SLC,1015,1016,1,1,0,0,1000-1059,1305,1253,-12,0,0,-1,1300-1359,110,97,77,1,590,3
1,1,1,5,DL,19790,12173,32134,HNL,12892,32575,LAX,1533,1537,4,4,0,0,1500-1559,2308,2251,-17,0,0,-2,2300-2359,335,314,266,1,2556,11
1,1,1,5,DL,19790,12892,32575,LAX,10397,30397,ATL,1645,1653,8,8,0,0,1600-1659,2350,2345,-5,0,0,-1,2300-2359,245,232,207,1,1947,8
1,1,1,5,DL,19790,13487,31650,MSP,14771,32457,SFO,1740,1737,-3,0,0,-1,1700-1759,1951,1921,-30,0,0,-2,1900-1959,251,224,203,1,1589,7
1,1,1,5,DL,19790,12892,32575,LAX,11433,31295,DTW,700,655,-5,0,0,-1,0700-0759,1425,1402,-23,0,0,-2,1400-1459,265,247,228,1,1979,8
1,1,1,5,DL,19790,14869,34614,SLC,14679,33570,SAN,940,937,-3,0,0,-1,0900-0959,1037,1025,-12,0,0,-1,1000-1059,117,108,87,1,626,3
1,1,1,5,DL,19790,14679,33570,SAN,14869,34614,SLC,1119,1108,-11,0,0,-1,1100-1159,1415,1342,-33,0,0,-2,1400-1459,116,94,78,1,626,3
1,1,1,5,DL,19790,12892,32575,LAX,10397,30397,ATL,1511,1515,4,4,0,0,1500-1559,2219,2158,-21,0,0,-2,2200-2259,248,223,207,1,1947,8
1,1,1,5,DL,19790,14679,33570,SAN,11433,31295,DTW,700,659,-1,0,0,-1,0700-0759,1415,1401,-14,0,0,-1,1400-1459,255,242,220,1,1956,8
1,1,1,5,DL,19790,12892,32575,LAX,15304,33195,TPA,1030,1027,-3,0,0,-1,1000-1059,1752,1737,-15,0,0,-1,1700-1759,262,250,231,1,2158,9
1,1,1,5,DL,19790,12892,32575,LAX,12173,32134,HNL,1435,1437,2,2,0,0,1400-1459,1826,1840,14,14,0,0,1800-1859,351,363,344,1,2556,11
1,1,1,5,DL,19790,13303,32467,MIA,12892,32575,LAX,1831,1825,-6,0,0,-1,1800-1859,2139,2122,-17,0,0,-2,2100-2159,368,357,328,1,2342,10
1,1,1,5,DL,19790,12892,32575,LAX,11193,33105,CVG,1215,1225,10,10,0,0,1200-1259,1915,1913,-2,0,0,-1,1900-1959,240,228,209,1,1900,8
1,1,1,5,DL,19790,14869,34614,SLC,12892,32575,LAX,1651,1651,0,0,0,0,1600-1659,1748,1741,-7,0,0,-1,1700-1759,117,110,89,1,590,3
1,1,1,5,DL,19790,14679,33570,SAN,10397,30397,ATL,615,614,-1,0,0,-1,0600-0659,1321,1301,-20,0,0,-2,1300-1359,246,227,201,1,1892,8
1,1,1,5,DL,19790,11433,31295,DTW,14679,33570,SAN,2000,1957,-3,0,0,-1,2000-2059,2201,2134,-27,0,0,-2,2200-2259,301,277,252,1,1956,8
1,1,1,5,DL,19790,14679,33570,SAN,11433,31295,DTW,2245,2231,-14,0,0,-1,2200-2259,604,531,-33,0,0,-2,0600-0659,259,240,222,1,1956,8
